Course Name,Department,CourseNum
INTRO COURSE AFRICANA,AFST,201
PSYC CULTURE & DIVERSITY,AFST,209
CONTEMP ISSUES GLOBAL SOUTH,AFST,261
BLACKS IN US 1607-1877,AFST,300
AFRICANA SOCIAL SCIENCES,AFST,324
POP MUS IN AFRICAN DIASP,AFST,327
AFRICAN-AM LIT POST-1930,AFST,339
AFRICANA PHILOSOPHY,AFST,352
AFRICANA LIT & CULTURE,AFST,393
AFRICANA CINEMA,AFST,398
COMM & BLACK FREEDOM DREAMS,AFST,425
SEMINAR IN AFRICANA STDY,AFST,481
DIRECTED STUDIES,AFST,485
METHODS INQUIRY AFR STDY,AFST,601
INTRO TO AG & LIFE SCI COMM,AGCJ,105
MEDIA CONCEPTS AG & LIFE SCI,AGCJ,281
THEORY & PRAC PR AG & LIFE SCI,AGCJ,306
DESIGN FOR AG MEDIA,AGCJ,307
INTRO RES AG & LIFE SCI COMM,AGCJ,311
EDITING IN AG & LIFE SCIENCES,AGCJ,312
MEDIA WRITING AG & LIFE SCI I,AGCJ,313
MEDIA WRITING AG & LIFE SCI II,AGCJ,314
RADIO BROADCASTING,AGCJ,366
SCI COMM PUB ENG AG & LIFE SCI,AGCJ,404
DESIGN & PUBLIC AG & LIFE SCI,AGCJ,405
AD COPY & DESIGN AG & LIFE SCI,AGCJ,408
SEMINAR,AGCJ,481
DIRECTED STUDIES,AGCJ,485
INTERNSHIP,AGCJ,494
INTRO TO AG ECONOMICS,AGEC,105
CRIT THINK & DEC MKNG AG ECON,AGEC,117
FUNDMNTL AGRIFOOD SALES INDUST,AGEC,216
HNR-FUND OF AG ECON ANALYSIS,AGEC,217
SPTP: COFFEE VALUE CHAIN,AGEC,289
RESEARCH,AGEC,291
MKTG AG & FOOD PRODUCTS,AGEC,314
FOOD & AGRI SALES,AGEC,315
CUSTOMER RELSHP AGRIFOOD SELL,AGEC,316
HNR-ECON ANLYS FOR AGBU MGMT,AGEC,317
AGBU ENTREPRENEUR BUDGETING,AGEC,324
PRIN FARM & RANCH MGMT,AGEC,325
FINANCIAL MGMT IN AGRI,AGEC,330
HNR-AGRIBUSINESS MANAGEMENT,AGEC,340
FOOD & AGRICULTURAL LAW,AGEC,344
HNR-ENV & NAT RESOURCE ECON,AGEC,350
AGBU & FOOD MARKET ANLYS,AGEC,414
FOOD AGBU STRAT MKT PLAN,AGEC,415
SALES MGMT & ADV TECH PRO SELL,AGEC,416
FOOD SECURITY CLIMATE CONFLICT,AGEC,420
LAND ECONOMICS,AGEC,422
AGBU ENTRE FINC ANALYSIS,AGEC,425
AGRICULTURAL POLICY,AGEC,429
HNR-MACROECONOMICS OF AGRI,AGEC,430
CASES IN AGBUS FINANCE,AGEC,431
RURAL REAL EST & FINC AN,AGEC,432
AGBU STRATEGIC ANALYSIS,AGEC,440
AGR COMMODITY FUTURES,AGEC,448
INTERNATIONAL AGBU MKTG,AGEC,453
ETHICS IN AGBU AND AGEC,AGEC,481
DIRECTED STUDIES,AGEC,485
SPTP: ML & DATA SCI AGEC,AGEC,489
HNR-RESEARCH,AGEC,491
INTL AGRBU INDUSTRY PRACTICES,AGEC,495
COMM FUTURES & OPTIONS,AGEC,601
NATURAL RESOURCE ECON,AGEC,604
RRL RL EST APRSL ORGNT,AGEC,605
WATER RESOURCE ECONOMICS,AGEC,606
RESEARCH METHODOLOGY,AGEC,607
FOOD SECURITY CLIMATE CONFLICT,AGEC,620
AGBU ANLY & FORECASTING,AGEC,622
ENVIRONMENT OF AGBUSINESS,AGEC,625
OPER RSCH METH IN AG,AGEC,641
DYN OPTIM IN AG AND APPL ECON,AGEC,642
APPL ECMT MTDS AG RESOUR II,AGEC,662
FRONTIERS MKTS&INFO ECON,AGEC,676
FRONTIERS RES&ENVIR ECON,AGEC,677
PROFESSIONAL INTRNSHIP,AGEC,684
DIRECTED STUDIES,AGEC,685
SPTP: AG AND DEVELOPMENT ECON,AGEC,689
RESEARCH,AGEC,691
MOD AG SYS&RNW NAT RES,AGLS,101
LIFE SCI LEARNING COMM 2,AGLS,225
FOUNDATIONS OF MONEY EDU,AGLS,235
AGLS STUDY ABROAD,AGLS,301
FINANCIAL READINESS,AGLS,335
FINC PLAN FOR PROF,AGLS,435
INSUR & ESTATE PLANNING,AGLS,436
INVESTMENT PLANNING,AGLS,438
RETIREMENT PLANNING,AGLS,439
FINANCIAL PLANNING CAPSTONE,AGLS,441
SPTP: HACKATHON: FOOD JUSTICE,AGLS,489
CO-OP ED IN AGRI,AGLS,492
TEACHING SBAE & CLINICAL EXP,AGSC,302
MGMT OF SUPERVISED AG EXPRNCES,AGSC,305
TEACHING SKILLS AG METAL TECH,AGSC,363
MANAGE SAFETY IN AGSC PRGM,AGSC,373
TEACHING AG MECHANICS,AGSC,383
LRNR-CNTRD INST IN AGSC,AGSC,425
PROF TEACHNG INTERN AGSC,AGSC,436
SEMINAR,AGSC,481
FIELD EXPERIENCE,AGSC,484
WRLD DRNK PROB GLB WTR SCARC,AGSM,105
AGRI ENERGY & PWR SYSTEMS,AGSM,201
SYSTEMS ANALYSIS AGRI,AGSM,301
AGRI MACHINERY MGMT,AGSM,310
FOOD PROCESS ENGR TECH,AGSM,315
AGRI INDUS APPL ELEC,AGSM,325
TECH ENV NAT RES ENGR,AGSM,337
OCCUPATIONAL SAFETY MGMT,AGSM,360
MGMT AGRI SYSTM II,AGSM,440
GLOBAL AG ISSUES,ALEC,350
PRINCIPLES POSITIVE YOUTH DEV,ALEC,370
SKILLS & TECH YOUTH DEVEL PRO,ALEC,371
CAMP MANAGEMENT & ADMIN,ALEC,377
HIGH-IMPACT EXPERIENCE,ALEC,399
TECH INSTR DESIG STR AG,ALEC,412
PRINCIPLES OF PROGRAM EVAL,ALEC,425
GLBL SOC JSTICE ISS AGRI,ALEC,450
APP INTL DEV THEORY AGRI: NAM,ALEC,460
GRANT PROG EVAL YOUTH DEV ORG,ALEC,472
DIRECTED STUDIES,ALEC,485
RESEARCH,ALEC,491
PRIN OF ADULT EDUCATION,ALEC,610
INSTRUCT DESIGN ONLINE,ALEC,612
PHILOSOPHY OF AGED,ALEC,615
DATA COLL ANALY INTRP,ALEC,622
PROG EVAL & ORG ACCTBLTY,ALEC,625
DEV & PLAN COMMUNITY EDU,ALEC,631
METH OF TECH CHANGE,ALEC,640
EFFECTIVE SKILLS FOR YOUTH DEV,ALEC,671
YOUTH DEV CAPSTONE EXPERIENCE,ALEC,677
SEMINAR,ALEC,681
PROFESSIONAL INTERNSHIP,ALEC,684
DIRECTED STUDIES:NAM,ALEC,685
RESEARCH,ALEC,691
PROFESSIONAL STUDY,ALEC,692
PROFESSIONAL STUDY,ALEC,693
FRNTRS IN RESEARCH,ALEC,695
QUAL RESEARCH IN AGED,ALEC,696
INTRO TO LEADERSHIP,ALED,202
DIRECTED STUDIES,ALED,285
PERSONAL LEADERSHIP EDUC,ALED,301
LDSHIP MULTICULTURAL WORLD,ALED,323
SURVEY LEADERSHIP THEORY,ALED,340
TEAM LEARNING,ALED,341
LEADERSHIP OF VOLUNTEERS,ALED,344
ADVD PROF LEADERSHIP DEV,ALED,401
CULTURAL PLRLSM IN AGRI,ALED,422
APPLD ETHICS IN LDRSHIP,ALED,424
LEADING TRAINING ADULTS,ALED,426
LEADING CHANGE,ALED,440
AGRI EXTEN ORG & METH,ALED,441
SEMINAR,ALED,481
DIRECTED STUDIES,ALED,485
SPTP: FOLLOWERS & FOLLOWERSHI,ALED,489
RESEARCH,ALED,491
ADEV INTERNSHIP,ALED,494
ADV CODING DATA ANALYTICS,ANLY,601
DEPLOY ENTERPRISE DATA MODELS,ANLY,610
GENERAL ANIMAL SCIENCE,ANSC,107
GENERAL ANIMAL SCIENCE LAB,ANSC,108
ANIMAL PROD SYS,ANSC,111
FARM ANIMAL BIOSYSTEMS,ANSC,113
INTRO EQUINE CARE,ANSC,201
ANSC LAB PREP METHODS,ANSC,205
COMPANION ANIMAL SCIENCE,ANSC,210
EQUINE IND AND CAREER PREP,ANSC,211
INTRO TO LIVESTOCK EVALUATION,ANSC,215
EQUINE HANDLING & SAFETY,ANSC,221
RESEARCH,ANSC,291
HNR-PRIN OF ANIM NUTRITION,ANSC,303
ANIMAL BREEDING,ANSC,305
HNR-MEATS,ANSC,307
APPLIED ANIMAL RECORD KEEPING,ANSC,309
EQUINE BEHAVIOR & TRNG,ANSC,311
EQUINE SELECT AND JUDG,ANSC,316
ANIMAL FEEDS & FEEDING,ANSC,318
ANIMAL NUTR & FEEDING,ANSC,320
ADV LVSTK & PROD EVAL,ANSC,325
FOOD BACTERIOLOGY,ANSC,326
HNR-REPROD IN FARM ANIMALS,ANSC,333
HNR-REPROD FARM ANIMALS LAB,ANSC,334
MEAT MERCHANDISING,ANSC,337
ANIMAL SCIENCE EXPERIENCE,ANSC,399
BEHVR & MGMT OF DMSTC ANIMALS,ANSC,404
BEEF CATTLE PROD & MGM,ANSC,406
EQUINE NUTR & HEALTH,ANSC,411
SWINE PROD & MGMT,ANSC,412
SHEEP & GOAT PROD & MG,ANSC,414
EQUINE PROD & MGMT,ANSC,420
ISSUES EQUINE INDUSTRY,ANSC,423
ANIMAL REPRODUCTION MGMT,ANSC,434
MKTG & GRDG LVSTCK & MEAT,ANSC,437
CURRENT ISSUES IN ANIMAL AG,ANSC,451
PRCSD MEAT FD OPERATNS,ANSC,467
LIVESTOCK PRACTICUM,ANSC,484
HNR-DIRECTED STUDIES,ANSC,485
SENSORY EVAL OF FOODS,ANSC,487
SPTP: LIVESTOCK HEREDITY,ANSC,489
HNR-RESEARCH,ANSC,491
ANSC INTERNSHIP,ANSC,494
ANIMAL SCIENCE CAPSTONE,ANSC,498
ENER OF METAB & GROWTH,ANSC,602
PROTEIN METABOLISM,ANSC,613
PHYSIOL CHEM LVSTK SPECIES,ANSC,619
ISSUES EQUINE INDUSTRY,ANSC,621
APPLIED ANIMAL GENOMICS,ANSC,629
REPRODUCTIVE BIOLOGY II,ANSC,631
FOOD SAFETY POL REG ISS,ANSC,637
PREDICTION GENETIC MERIT,ANSC,638
CURRENT ISSUES ANIMAL AG,ANSC,651
INDUS PROC MEAT OPER,ANSC,667
SEMINAR,ANSC,681
PROFESSIONAL INTRNSHIP,ANSC,684
DIRECTED STUDIES,ANSC,685
SENSORY EVAL OF FOODS,ANSC,687
RESEARCH,ANSC,691
INTRO TO ANTHROPOLOGY,ANTH,201
INTRO TO ARCHAEOLOGY,ANTH,202
THE PREHISTORIC WORLD,ANTH,204
PEOPLES & CULT OF WRLD,ANTH,205
SOC AND CULT ANTH,ANTH,210
CROSS CULTURAL COMPETENCY,ANTH,222
INTRO BIOLOGICAL ANTHRO,ANTH,225
INTRO TO BIOLOGICAL ANTH LAB,ANTH,226
DIRECTED STUDIES,ANTH,285
RESEARCH,ANTH,291
CULT CHANGE & DEVELOP,ANTH,300
FOSSIL EVID HUMAN EVO,ANTH,312
HISTORICAL ARCHAEOLOGY,ANTH,313
NAUTICAL ARCHAEOLOGY,ANTH,316
INTRO BIBLICAL ARCHAEOL,ANTH,317
NAUT ARCH OF THE AMERI,ANTH,318
NAUTICAL ARCH MEDITERRAN,ANTH,323
MUS IN WORLD CULTURES,ANTH,324
CULTURES OF CENTRAL ASIA,ANTH,335
ARCHAEOLOG ARTIFACT CONS,ANTH,402
ANTHROPOLOGY OF RELIGION,ANTH,403
ANTHROPOLOGICAL THEORY,ANTH,410
ANTHROPOLOGICAL WRITING,ANTH,415
ROMANS ARABS AND VIKINGS,ANTH,418
HUMAN OSTEOLOGY,ANTH,425
ANCIENT EGYPT,ANTH,436
ANTHROPOLOGY INTERNSHIP,ANTH,484
DIRECTED STUDIES,ANTH,485
RESEARCH,ANTH,491
ARCHEOLOGC MTDS & THRY,ANTH,602
CONS OF ARCHLGL RES II,ANTH,606
SKILLS IN MARITIME ARCH,ANTH,608
RSRCH & RECNSTRTN SHIP,ANTH,616
NEW WORLD SEAFRING,ANTH,628
ETHNOGRAPHIC FLD METH,ANTH,650
TEACHING ANTHROPOLOGY,ANTH,680
DIRECTED STUDIES,ANTH,685
RESEARCH,ANTH,691
BEGINNING ARABIC I,ARAB,101
BEGINNING ARABIC II,ARAB,102
INTERMEDIATE ARABIC II,ARAB,202
DIRECTED STUDIES,ARAB,285
MEDIA ARABIC,ARAB,323
RESEARCH,ARAB,491
DESIGN FOUNDATIONS I,ARCH,105
DESIGN AND VISUAL COMM FOUN II,ARCH,108
DESIGN COMM FOUNDATION I,ARCH,115
HNR-ARCH DESIGN II,ARCH,206
SOCIAL & BEHAV FACT DESN,ARCH,212
SUSTAINABLE ARCHITECTURE,ARCH,213
COMPUT METHODS IN ARCH,ARCH,216
HNR-SURVEY WORLD ARCH HIS I,ARCH,249
HNR-SURVEY WORLD ARCH HIS II,ARCH,250
SEMINAR IN CONTEMPORARY ARCH,ARCH,281
ARCH DESIGN III,ARCH,305
DIGITAL FABRICATION ARCH,ARCH,317
ARCHITECTURAL ENVELOPES,ARCH,328
ARCHITECTURAL STRUCTURES,ARCH,331
ARCHITECTURAL SYSTEMS,ARCH,335
HISTORY OF BUILDING TECH,ARCH,345
ARCH HERITAGE CULTURE,ARCH,346
DOCUMENT HIST BLDGS & SITES,ARCH,347
HIST/THEOR MOD/CONT ARCH,ARCH,350
HISTORY OF PRODUCT DESIGN,ARCH,353
DESIGN SEMINAR,ARCH,381
DESIGN CREATIVITY,ARCH,401
HNR-ARCH DESIGN V,ARCH,406
ELEMENTS OF URBAN DESIGN,ARCH,413
ENERGY & SUSTAINABLE ARCH,ARCH,421
SCULPT PAINT ANC ARCH,ARCH,434
GOTHIC CATHEDRAL,ARCH,437
BAROQUE & ROCOCO ARCH,ARCH,441
HNR-CULT ETHICAL GLOBAL PRAC,ARCH,458
SEMINAR,ARCH,481
DIRECTED STUDIES: IN-AB,ARCH,485
INTERNSHIP: IN-AB,ARCH,494
DESIGN FUNDAMENTALS II,ARCH,602
ARCHITECTRL DESIGN II,ARCH,606
ARCHITECTRL DESIGN IV,ARCH,608
ELEMENTS OF ARCH STRUC,ARCH,614
ELEM OF ENV CNTRL SYST,ARCH,615
APPLIED SOLAR ENERGY,ARCH,619
BLDG PERFORMANCE MESUREMENT,ARCH,620
APPLIED ARCH STRUCTURES,ARCH,631
APPLIED ARCH SYSTEMS,ARCH,633
ARCH LIGHTING,ARCH,634
SFT ANLY HVAC SYS LO ENE,ARCH,643
ART & ARCHITECTURAL HIST,ARCH,644
SEMINAR ARCHITECTURAL THEORY,ARCH,645
HIST PRESN THEOY PRAC,ARCH,646
PARAMETRIC MODELING DESIGN,ARCH,655
ADV PRO PRACTICE & ETHIC,ARCH,657
DIGITAL ARCH PHOTOGRAPHY,ARCH,659
DESIGN PROGRAMMING,ARCH,660
TYP OF CONTEMP HOSP DSGN,ARCH,674
HEALTH DESIGN & RESEARCH,ARCH,675
SUR HUMAN BEHAV & DESG,ARCH,676
SEMINAR,ARCH,681
DIRECTED STUDIES,ARCH,685
RESEARCH,ARCH,691
ARCH ENGR FOUNDATIONS,AREN,200
FUND BUILD INFO MODL ARCH ENGR,AREN,210
ARCH ENGR SYSTEMS,AREN,300
MECHANICAL SYSTEMS BLDGS,AREN,330
HIGH IMPACT EXPERIENCE AREN,AREN,399
AREN CAPSTONE II,AREN,402
SPTP: SMART BLDG TECH,AREN,489
EXP SEC MATH & SCI CLASSES,ARSC,201
CO-OP ED IN ARTS & SCIENCES,ARSC,292
ARTS & SCIENCES STUDY ABROAD,ARSC,301
CO-OP ED IN ARTS & SCIENCES,ARSC,392
CO-OP ED IN ARTS & SCIENCES,ARSC,492
LUMIERE PARIS CITY OF LIGHTS,ARTS,101
MECENAS WORLD OF THE MEDICI,ARTS,102
DESIGN I,ARTS,103
INTRO TO GRAPHIC DESIGN,ARTS,104
DRAWING I,ARTS,111
HNR-ART HISTORY SURVEY I,ARTS,149
HNR-ART HISTORY SURVEY II,ARTS,150
INTRO TO DIGITAL PHOTOGRAPHY,ARTS,210
LIFE DRAWING,ARTS,212
GRAPHIC DESIGN I,ARTS,303
GRAPHIC DESIGN II,ARTS,304
DIGITAL PAINTING,ARTS,325
ADVANCED PAINTING,ARTS,328
THE ARTS OF AMERICA,ARTS,330
THEMES IN CONTEMPORARY ART,ARTS,339
HISTORY OF ANIMATION,ARTS,341
HISTORY OF GAMING,ARTS,345
HNR-HISTORY OF MODERN ART,ARTS,349
COLOR THEORY,ARTS,353
GRAPHIC DESIGN III,ARTS,403
BASIC MATH SKILLS,ASCC,001
COREQUISITE MATH SUPPORT,ASCC,002
COREQ INTR READ WRITE SUPPORT,ASCC,003
READING/WRITING CONNECTION,ASCC,004
APPL OF LEARNING THEORY,ASCC,101
BASIC ASTRONOMY,ASTR,101
OBSERVATIONAL ASTRONOMY,ASTR,102
INTRO GALAXIES AND COSMOLOGY,ASTR,104
HNR-BIG BANG AND BLACK HOLES,ASTR,109
OVERVIEW OF MODERN ASTRO,ASTR,111
RESEARCH,ASTR,291
HNR-SURVEY OF ASTRONOMY,ASTR,314
EXTRAGALACTIC ASTRONOMY,ASTR,403
ADV ASTROPHYSICAL RESEARCH,ASTR,420
HNR-RESEARCH,ASTR,491
GALACTIC ASTRONOMY,ASTR,605
SEMINAR,ASTR,681
DIRECTED STUDIES,ASTR,685
SPTP: SCIENTIFIC WRITING ASTR,ASTR,689
RESEARCH,ASTR,691
WEATHER & CLIMATE,ATMO,201
WEATHER & CLIMATE LABORATORY,ATMO,202
WEATHER FORECASTING LAB,ATMO,203
CLIMATE CHANGE,ATMO,210
RESEARCH,ATMO,291
COMP APP ATMOS SCIENCE,ATMO,321
PHYS & REGNL CLIMATOLOGY,ATMO,324
SEVERE WEA MESO FORECAST,ATMO,352
HIGH IMPACT EXPER METEOROLOGY,ATMO,370
SYNOPTIC-DYNAMIC METR,ATMO,435
SATELLITE MET REM SENS,ATMO,441
SCI & POLITICS CLIM CHG,ATMO,444
NUMERICAL WEA PREDICTION,ATMO,455
PRAC WEATHER FORECASTING,ATMO,456
BROADCAST METEOROLOGY,ATMO,461
AIR QUALITY,ATMO,463
RESEARCH,ATMO,491
ATMOSPHERIC DYNAMICS II,ATMO,611
ATMOSPHERIC PHYSICS II,ATMO,612
ADV ATMOSPHERIC CHEM,ATMO,613
DYN OF CONVECT CLOUDS,ATMO,638
SEMINAR,ATMO,681
SPTP:AEROSOL PHYS & CHEM,ATMO,689
RESEARCH,ATMO,691
FIELD EXPERIENCE IN ATTR II,ATTR,202
FIELD EXPERIENCE IN ATTR II,ATTR,302
CLIN DECIS EVD BASED PRAC II,ATTR,643
TRANSITION TO PRACTICE,ATTR,646
CLIN EDUC III,ATTR,653
CLIN EDUC VI,ATTR,656
CLIN EXAM & DIAG UE SP & HEAD,ATTR,664
HLTH ADMIN MGMT & DELIV STRAT,ATTR,671
PROF PREP & ISSUES AT TR,ATTR,672
PERFORMACE ENHANCEMENT SPORT,ATTR,676
RESEARCH CAPSTONE,ATTR,677
BIO & AG ENGR FUND I,BAEN,301
HNR-ENGR THERMODYNAMICS,BAEN,320
UNIT OPS BIOL & AGR ENGR,BAEN,365
TRANSPORT PROC BIOL SYS,BAEN,366
MEAS CTRL BIO & AG PROC,BAEN,370
PROFESSIONAL DEVELOPMENT,BAEN,399
HYDRAULIC POWER,BAEN,412
FOOD RHEOLOGY,BAEN,420
ENGR ASPECTS PACKAGING,BAEN,427
FUNDAMENTALS IN BIOSEPARATIONS,BAEN,431
PRIN OF ENVIRO HYDROLOGY,BAEN,460
DES BIOL WASTE TREAT SYS,BAEN,465
HNR-AIR POLLUTION ENGINEERIN,BAEN,477
BIOL & AGR ENGR DES II,BAEN,480
INTERNSHIP,BAEN,484
SPTP: BIOAEROSOLS AND MODELIN,BAEN,489
HNR-RESEARCH,BAEN,491
ENGR ASPECTS PACKAGING,BAEN,627
BIOPRCS SEP BIOTEC,BAEN,631
WEF NEXUS SUST RES MGMT,BAEN,642
ADVANCED TOPICS IN GIS,BAEN,652
STAT METHODS BIO AG ENGR,BAEN,662
DES BIOL WASTE TREAT SYS,BAEN,665
SMALL WATERSHED HYDROLGY,BAEN,672
MODELING SMALL WATERSHED,BAEN,673
HYDROLOGY ACROSS SCALE,BAEN,675
PEER REVW PROC & PUBLIC,BAEN,683
PROFESSIONAL INTERNSHIP,BAEN,684
DIRECTED STUDIES,BAEN,685
SPTP: BIOAEROSOLS AND MODELING,BAEN,689
RESEARCH,BAEN,691
STUDENT TEACHING BESL,BEFB,425
EFFECT INSTR HISP STUDT: IN-AB,BEFB,426
BILING ASSESS & MONITORING,BEFB,470
CONTENT AREA INSTRUCTION,BEFB,476
INTRO BIOENVIRON SCI,BESC,201
HNR-MOLDS AND MUSHROOMS,BESC,204
WTR & THE BIOENVIRON SCI,BESC,320
HNR-MICROBIAL PROC BIOREM,BESC,402
SAMPLING & ENVIR MONITOR,BESC,403
BIOENVIRONMENTAL DATA ANALYSIS,BESC,431
SEMINAR,BESC,481
FIELD EXPERIENCE,BESC,484
HISP BILING ASSESS/MONIT,BESL,610
CONT AREA INST HISP/BIL,BESL,612
TEACHER ACTION RESEARCH,BESL,615
EVAL PROG WITH LANG MINO,BESL,617
RESEARCH IN SECOND LANG,BESL,632
FIELD PRACTICUM IN,BESL,683
DIRECTED STUDIES,BESL,685
RESEARCH,BESL,691
ELEMENTS OF BIOL CHEM,BICH,303
BIOCHEMICAL CALCULATIONS,BICH,404
MOLEC MECH CELL INTERACTIONS,BICH,406
PRINCIPLES OF BIOCHEMISTRY,BICH,409
COMPREHEN BIOCHEM I,BICH,410
COMPREHEN BIOCHEM II,BICH,411
BIOCHEMICAL TECH I,BICH,414
MOLECULAR GENETICS,BICH,431
MOLECULAR GENETICS LAB,BICH,432
BIOCHEMISTRY I,BICH,440
HNR-BIOCHEMISTRY II,BICH,441
BACTERIOPHAGE GENOMICS,BICH,464
SPTP: MECHS OF CELL DIVISION,BICH,489
HNR-RESEARCH,BICH,491
MACROMOLEC FOLD & DESIGN,BICH,671
GENE EXPRESSION,BICH,673
PROT FOLDING & STABILITY,BICH,674
BACTERIOPHAGE BIOLOGY,BICH,676
METAL IONS,BICH,678
SPTP: WRITTEN COMMUNICATIONS,BICH,689
THEORY OF BIOCHEM RES,BICH,690
RESEARCH,BICH,691
TEACHING BIOCHEM LABS,BICH,697
ONE HEALTH IN ACTION,BIMS,110
ANIMALS IN SOCIETY,BIMS,125
SPTP: GREAT GENETIC DISEASES O,BIMS,289
RESEARCH,BIMS,291
HNR-BIOMEDICAL GENETICS,BIMS,320
EQUINE ASST ACTIVIT & THERAP,BIMS,380
ADVANCED HUMAN GENETICS,BIMS,421
SEMINAR IN BIOMED SCI,BIMS,481
BIOMED FIELD EXPERIENCE,BIMS,484
DIRECTED STUDIES,BIMS,485
SPTP: PEER TEACHING IN BIOMEDI,BIMS,489
RESEARCH,BIMS,491
HORIZONS IN BIOLOGY,BIOL,100
ZOOLOGY,BIOL,107
INTRODUCTORY BIOLOGY I,BIOL,111
HNR-INTRO BIOLOGY II,BIOL,112
ESSENTIALS IN BIOLOGY,BIOL,113
INTRO MICROBIOLOGY,BIOL,206
MOLECULAR CELL BIOL,BIOL,213
HNR-GENES ECOLOGY EVOLUTION,BIOL,214
RESEARCH,BIOL,291
CAREERS IN BIOLOGY,BIOL,302
INTEGRATED HUM AN/PHY I,BIOL,319
HNR-INTEGRATED HUM AN/PH II,BIOL,320
INVERTEBRATE ZOOLOGY,BIOL,335
FUND OF MICROBIOL,BIOL,351
ECOLOGY,BIOL,357
PRNCPLS OF ANML PHSLGY,BIOL,388
CRITICAL WRITING IN BIOL,BIOL,401
